"Pergunta";"Resposta"
"O que é imagem forense (bit-stream)?";"É a cópia física integral, bit a bit, de um dispositivo de armazenamento. Ela preserva todos os setores da mídia, incluindo o espaço livre (não alocado) e arquivos deletados, diferentemente de uma cópia lógica de arquivos comum."
"O que é o processo de data carving?";"É a técnica de recuperação de arquivos apagados baseada puramente em assinaturas (cabeçalho e rodapé - header e footer - ex.: FF D8 FF para JPEG). Não depende do sistema de arquivos e é crucial quando a tabela de partição está corrompida."
"O que é o IPED no contexto de perícia da Polícia Federal?";"O IPED (Indexador e Processador de Evidências Digitais) é uma ferramenta desenvolvida por peritos da Polícia Federal brasileira, amplamente utilizada para processar grandes volumes de dados de mídias apreendidas, permitindo busca textual rápida, cruzamento de dados e classificação visual."
"Qual a conduta tipificada pelo Art. 154-A do Código Penal brasileiro?";"Invasão de dispositivo informático alheio, conectado ou não à rede de computadores, mediante violação indevida de mecanismo de segurança e com o fim de obter, adulterar ou destruir dados ou instalar vulnerabilidades. (Pena base de 1 a 4 anos e multa)."
"Qual o papel de um bloqueador de escrita (Write Blocker)?";"Garantir a integridade da evidência digital. Ele impede fisicamente ou logicamente qualquer comando de gravação na mídia original examinada durante o processo de aquisição e clonagem."
"Qual a diferença pericial entre extração lógica e extração física em celulares?";"A extração lógica comunica-se com as APIs do sistema operacional e lê apenas arquivos ativos visíveis (mensagens, fotos, contatos). A extração física faz o dump direto da memória NAND flash, permitindo acessar dados de partições protegidas e recuperar mensagens deletadas."
"O que representam os métodos JTAG, ISP e Chip-Off?";"Técnicas de aquisição física de dados em nível de hardware. JTAG usa interfaces de teste da placa mãe; ISP (In-System Programming) solda fios diretamente nos barramentos de comunicação do chip de memória; Chip-Off envolve dessoldar e extrair fisicamente o chip de memória BGA da placa."
"O que garante a função hash (ex: MD5, SHA-256) na custódia de evidências?";"Garante a autenticidade e inalterabilidade dos dados. Qualquer mudança em apenas 1 bit de informação no disco ou arquivo gera um hash de saída totalmente diferente (efeito avalanche), comprovando fraude se os hashes diferirem do laudo de apreensão."
"O que é a Convenção de Budapeste?";"Tratado internacional sobre cibercriminalidade que visa harmonizar as leis criminais nacionais de informática, aprimorar técnicas de investigação e aumentar a cooperação internacional. O Brasil aderiu oficialmente em 2023."
"Qual a importância de isolar dispositivos móveis em saco de Faraday no momento da apreensão?";"Impedir que o dispositivo receba comandos remotos de apagamento de dados via internet móvel (Wi-Fi/4G/5G) ou atualize informações durante o transporte."
