"Pergunta";"Resposta"
"O que é o teste de Scott modificado e qual seu resultado positivo para cocaína?";"É um teste preliminar colorimétrico para cocaína. A reação com tiocianato de cobalto forma uma cor azul insolúvel. Após a adição de HCl, a solução fica rosa e, após adição de clorofórmio, a camada inferior clorofórmica se torna azul novamente."
"Quais os principais falsos positivos do teste de Scott?";"Medicamentos analgésicos e anestésicos como lidocaína, procaína, tetracaína, além de heroína e metadona."
"Quais os testes preliminares clássicos para maconha/THC?";"O teste de Duquenois-Levine (forma cor violeta na camada de clorofórmio) e o teste de Fast Blue B (produz coloração vermelho-alaranjada na presença de canabinoides)."
"Qual a diferença entre adulterantes e diluentes em drogas apreendidas?";"Adulterantes são substâncias com atividade farmacológica (ex: cafeína, lidocaína na cocaína) adicionadas para mimetizar ou potencializar os efeitos da droga de abuso. Diluentes são substâncias inertes (ex: amido, talco, lactose) usadas para aumentar o volume e o peso da mercadoria vendida."
"O que define a Portaria SVS/MS nº 344/98?";"É a norma da ANVISA que lista todas as substâncias entorpecentes, psicotrópicas, precursoras e sob controle especial no Brasil. Serve como complemento legal indispensável para a caracterização do crime de tráfico de drogas (norma penal em branco)."
"O que são Novas Substâncias Psicoativas (NSP)?";"Drogas sintéticas projetadas por modificações em laboratório que mimetizam os efeitos de drogas clássicas (como maconha, ecstasy ou LSD), projetadas especificamente para contornar as listas de proibições legais existentes."
"O que é o reagente de Marquis e para que serve?";"Uma solução de formaldeído e ácido sulfúrico concentrado, usada como teste colorimétrico preliminar para identificar compostos como opiáceos/heroína (cor roxa/púrpura) e anfetaminas/MDMA (cor laranja escuro/preto)."
"O que é a cetamina (ou ketamina) no âmbito da química forense?";"Um anestésico dissociativo de uso veterinário e humano que bloqueia receptores NMDA. É abusado de forma ilícita por causar alucinações intensas e é um agente clássico de golpes de dopagem química (""Boa noite, Cinderela"")."
"Qual a exigência e validade do Laudo de Constatação Preliminar?";"Exigido pelo Art. 50, §1º, da Lei 11.343/06 para formalizar a prisão em flagrante. Ele atesta a natureza e a quantidade da droga, podendo ser elaborado por perito oficial ou pessoa idônea nomeada, dispensando temporariamente análises instrumentais avançadas."
"Qual as principais técnicas de laboratório para o laudo definitivo de drogas?";"Cromatografia Gasosa com Espectrometria de Massas (CG-EM) e Espectroscopia de Infravermelho com Transformada de Fourier (FTIR). Elas garantem especificidade molecular insuperável, sem falsos positivos."
