"Pergunta";"Resposta"
"O que diferencia uma explosão de alta ordem (1ª ordem) de uma de baixa ordem (2ª ordem)?";"Na alta ordem, o explosivo é totalmente consumido à sua velocidade máxima de detonação (reação ultrarrápida). Na baixa ordem, a reação é incompleta ou mais lenta (deflagração), restando resíduos não consumidos do material explosivo."
"O que é brisância (brisance)?";"É a capacidade de fragmentação ou poder de quebra de um explosivo. Está diretamente ligada à velocidade de detonação (VOD) do artefato."
"Quais os principais efeitos mecânicos de uma explosão?";"A onda de choque (fase de pressão positiva e fase de sucção negativa), a fragmentação (estilhaços do próprio invólucro ou de objetos próximos) e o efeito térmico (calor intenso e chamas)."
"O que é o sistema de tubo de choque (Nonel)?";"É um sistema de iniciação não elétrico composto por um tubo plástico revestido internamente por uma fina película de explosivo. Transmite o sinal de iniciação por meio de uma onda de choque de baixa energia, sem provocar calor ou faísca por fora."
"Qual a função de um disruptor (canhão d'água) no contexto EOD?";"Neutralizar ou desarticular o circuito elétrico/mecânico de fogo de um artefato explosivo à distância, disparando um jato de água pressurizado em frações de milissegundos antes que a espoleta possa iniciar a carga principal."
"O que é um dispositivo de acionamento por alívio de pressão (descompressão)?";"É um mecanismo de armadilha que dispara quando um peso que o comprimia é removido. Um exemplo típico é colocar uma bomba sob um livro pesado; ao retirar o livro, o detonador é liberado."
"Quais são as distâncias recomendadas para isolamento inicial em suspeita de bomba portátil?";"Normativos periciais sugerem um isolamento mínimo de 100 metros em campo aberto para volumes pequenos (mochilas, pacotes) e no mínimo 400 metros para veículos suspeitos."
"Qual a principal diferença entre altos explosivos e baixos explosivos (pólvoras)?";"Altos explosivos detonam por choque (reação supersônica superior a 1000 m/s). Baixos explosivos apenas deflagram por calor/chama (subsonicamente, queima rápida confinada)."
"O que diz a Norma de Serviço nº 001/80-CCP/PF?";"Normatiza e atribui a responsabilidade pela detecção, remoção, neutralização ou desativação de artefatos explosivos e/ou incendiários à Polícia Federal."
"O que é Carlos Marighella e sua obra ""Minimanual do Guerrilheiro Urbano""?";"Uma obra teórica de 1969 adotada por grupos revolucionários armados que descreve táticas de guerrilha e terrorismo urbano, incluindo o uso de bombas. O texto conceitua o terrorismo como ""uma arma a que o revolucionário nunca pode renunciar""."
